player_name,Role,sold_price,team,year,Player Origin,runs,balls,matches,strike_rate,wickets,run_conceded,balls_bowled,overs,economy,value_score,normalized_score,fair_price,difference,status
Aaron Finch,Batsman,40000000,Sunrisers Hyderabad,2014,Overseas,309,268,13,115.2985075,0,0,0,0,0,154.9747761,49.71056156449123,1047609044.2603507,-1007609044,Undervalued
Aaron Finch,Batsman,32000000,Mumbai Indians,2015,Overseas,23,33,3,69.6969697,0,0,0,0,0,21.45454546,6.881878001996392,145029897.25904858,-113029897.3,Undervalued
Aaron Finch,Batsman,10000000,Gujarat Lions,2016,Overseas,393,311,12,126.3665595,0,0,0,0,0,192.3849839,61.71046557778899,1300497114.299104,-1290497114,Undervalued
Aaron Finch,Batsman,62000000,Kings XI Punjab,2018,Overseas,134,102,9,131.372549,0,0,0,0,0,80.65588235,25.871624436895996,545223125.5653236,-483223125.6,Undervalued
Aaron Finch,Batsman,44000000,Royal Challengers Bangalore,2020,Overseas,268,254,12,105.511811,0,0,0,0,0,135.5067717,43.465897373386376,916007901.9863278,-872007902,Undervalued
Abdul Samad,All-Rounder,2000000,Sunrisers Hyderabad,2020,Indian,113,68,7,166.1764706,1,96,43,7.166666667,13.39534884,76.15647059,24.428368373605615,514807695.5741523,-512807695.6,Undervalued
Abhijeet Tomar,Batsman,4000000,Kolkata Knight Riders,2022,Indian,4,8,1,50,0,0,0,0,0,9.59,3.076141145827197,64827135.00649533,-60827135.01,Undervalued
Abhimanyu Mithun,Bowler,3000000,Mumbai Indians,2015,Indian,0,0,0,0,0,0,0,0,0,0,0,0,3000000,Overpaid
Abhimanyu Mithun,Bowler,3000000,Sunrisers Hyderabad,2016,Indian,0,0,0,0,0,0,0,0,0,0,0,0,3000000,Overpaid
Abhinav Sadarangani,Batsman,26000000,Gujarat Titans,2022,Indian,0,0,0,0,0,0,0,0,0,0,0,0,26000000,Overpaid
Abhishek Nayar,All-Rounder,50625000,Pune Warriors India,2013,Indian,66,74,9,89.18918919,2,59,50,8.333333333,7.08,45.18837838,14.494872788666518,305467477.1499075,-254842477.1,Undervalued
Abhishek Nayar,All-Rounder,10000000,Rajasthan Royals,2014,Indian,43,50,4,86,0,0,0,0,0,32.87,10.543561987835242,222196864.19848815,-212196864.2,Undervalued
Abhishek Sharma,All-Rounder,5500000,Delhi Daredevils,2018,Indian,63,35,3,180,0,0,0,0,0,55.2,17.706255604761346,373144718.7026634,-367644718.7,Undervalued
Abhishek Sharma,All-Rounder,65000000,Sunrisers Hyderabad,2022,Indian,426,329,14,129.4832827,0,39,24,4,9.75,207.7824924,66.64945508545857,1404582240.5761237,-1339582241,Undervalued
Abu Nechim Ahmed,Bowler,3000000,Royal Challengers Bangalore,2014,Indian,4,1,1,400,3,120,89,14.83333333,8.08988764,62.239999999999995,19.964444725368587,420734190.0734378,-417734190.1,Undervalued
Adam Milne,Bowler,7000000,Royal Challengers Bangalore,2015,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,7000000,Overpaid
Adam Milne,Bowler,32000000,Mumbai Indians,2021,Overseas,16,19,3,84.21052632,4,135,87,14.5,9.310344828,20.82157895,6.678844183840685,140751127.16479632,-108751127.2,Undervalued
Adam Milne,Bowler,19000000,Chennai Super Kings,2022,Overseas,0,0,0,0,0,19,15,2.5,7.6,0,0,0,19000000,Overpaid
Adam Zampa,Bowler,3000000,Rising Pune Supergiant,2016,Overseas,0,1,1,0,12,117,103,17.16666667,6.815533981,0.9700000000000001,0.31114253508366857,6557072.049666368,-3557072.05,Undervalued
Aditya Garhwal,All-Rounder,2500000,Kolkata Knight Riders,2015,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2500000,Overpaid
Aditya Tare,Wicket Keeper,16000000,Mumbai Indians,2014,Indian,126,102,11,123.5294118,0,0,0,0,0,76.77941177,24.628186412732635,519018695.7803009,-503018695.8,Undervalued
Aditya Tare,Wicket Keeper,12000000,Sunrisers Hyderabad,2016,Indian,8,15,2,53.33333333,0,0,0,0,0,12.18,3.906923790890218,82335193.36253384,-70335193.36,Undervalued
Aditya Tare,Wicket Keeper,2500000,Delhi Daredevils,2017,Indian,18,25,3,72,0,0,0,0,0,19.65,6.303042076694934,132831408.01643723,-130331408,Undervalued
Aditya Tare,Wicket Keeper,2000000,Mumbai Indians,2018,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Agnivesh Ayachi,All-Rounder,2000000,Kings XI Punjab,2019,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Aiden Blizzard,Batsman,3000000,Mumbai Indians,2015,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,3000000,Overpaid
Aiden Markram,Batsman,26000000,Sunrisers Hyderabad,2022,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,26000000,Overpaid
Ajantha Mendis,Bowler,54375000,Pune Warriors India,2013,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,54375000,Overpaid
Ajinkya Rahane,Batsman,40000000,Rajasthan Royals,2018,Indian,370,321,14,115.2647975,0,0,0,0,0,181.5697196,58.24130191603446,1227387354.2462335,-1187387354,Undervalued
Ajinkya Rahane,Batsman,10000000,Kolkata Knight Riders,2022,Indian,133,131,7,101.5267176,0,0,0,0,0,75.00900764,24.06030184661841,507050997.3911907,-497050997.4,Undervalued
Akash Deep,Bowler,2000000,Royal Challengers Bangalore,2022,Indian,0,2,1,0,6,206,119,19.83333333,10.38655462,0.67,0.21491288505779169,4529111.621934501,-2529111.622,Undervalued
Akash Singh,Bowler,2000000,Rajasthan Royals,2020,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Akash Singh,Bowler,2000000,Rajasthan Royals,2021,Indian,0,0,0,0,0,39,24,4,9.75,0,0,0,2000000,Overpaid
Akhil Arvind Herwadkar,All-Rounder,1000000,Delhi Daredevils,2016,Indian,0,0,0,0,0,0,0,0,0,0,0,0,1000000,Overpaid
Akila Dananjaya,All-Rounder,1500000,Chennai Super Kings,2013,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,1500000,Overpaid
Akila Dananjaya,Bowler,5000000,Mumbai Indians,2018,Overseas,4,5,1,80,0,47,25,4.166666667,11.28,14.09,4.519585896,95246541.42247331,-90246541.42,Undervalued
Axar Rajesh Patel,All-Rounder,7500000,Kings XI Punjab,2014,Indian,62,61,7,101.6393443,19,424,403,67.16666667,6.312655087,45.445901645000006,14.57747736802924,307208300.46218175,-299708300.5,Undervalued
Akshay Karnewar,All-Rounder,1000000,Royal Challengers Bangalore,2016,Indian,0,0,0,0,0,0,0,0,0,0,0,0,1000000,Overpaid
