player_name,year,runs,balls,matches,strike_rate,wickets,run_conceded,balls_bowled,overs,economy
Aaron Finch,2013,456,344,14,132.5581395,1,49,24,4,12.25
Abhinav Mukund,2013,19,22,1,86.36363636,0,0,0,0,0
Abhishek Nayar,2013,66,74,9,89.18918919,2,59,50,8.333333333,7.08
Abraham de Villiers,2013,373,226,14,165.0442478,0,0,0,0,0
Abu Nechim Ahmed,2013,0,0,0,0,3,45,42,7,6.428571429
Adam Gilchrist,2013,294,234,13,125.6410256,1,0,1,0.166666667,0
Aditya Tare,2013,123,84,5,146.4285714,0,0,0,0,0
Adrian Dimitri Mascarenhas,2013,5,5,1,100,0,25,24,4,6.25
Ajinkya Rahane,2013,488,472,18,103.3898305,0,0,0,0,0
Ajit Agarkar,2013,12,16,2,75,0,93,63,10.5,8.857142857
Ajit Chandila,2013,4,6,1,66.66666667,6,158,150,25,6.32
Ali Murtaza,2013,5,4,1,125,3,96,62,10.33333333,9.290322581
Ambati Rayudu,2013,265,235,15,112.7659574,0,0,0,0,0
Amit Mishra,2013,89,103,6,86.40776699,24,395,376,62.66666667,6.303191489
Amit Mishra,2013,2,2,1,100,1,37,25,4.166666667,8.88
Anand Rajan,2013,0,0,0,0,2,43,51,8.5,5.058823529
Andre Russell,2013,11,15,2,73.33333333,0,68,44,7.333333333,9.272727273
Andrew McDonald,2013,0,2,1,0,1,17,12,2,8.5
Angelo Davis Mathews,2013,172,141,10,121.9858156,6,245,188,31.33333333,7.819148936
Anirudha Srikkanth,2013,0,2,1,0,0,0,0,0,0
Ankeet Chavan,2013,0,0,0,0,1,63,56,9.333333333,6.75
Ankit Sharma,2013,0,0,0,0,0,17,12,2,8.5
Ankit Singh Rajpoot,2013,2,6,1,33.33333333,1,37,25,4.166666667,8.88
Arun Karthik,2013,41,40,5,102.5,0,0,0,0,0
Ashish Nehra,2013,1,8,4,12.5,13,319,221,36.83333333,8.660633484
Ashish Reddy,2013,125,90,10,138.8888889,3,71,41,6.833333333,10.3902439
Ashok Dinda ,2013,9,11,5,81.81818182,18,466,304,50.66666667,9.197368421
Ashok Menaria,2013,1,2,1,50,0,0,0,0,0
Azhar Mahmood,2013,196,158,10,124.0506329,16,335,267,44.5,7.528089888
Balapuwaduge Ajantha Mendis,2013,2,4,1,50,2,78,72,12,6.5
Ben Laughlin,2013,4,9,2,44.44444444,1,72,45,7.5,9.6
Ben Rohrer,2013,193,146,8,132.1917808,0,12,7,1.166666667,10.28571429
Bharat Chipli,2013,16,19,1,84.21052632,0,0,0,0,0
bhargav Bhatt,2013,0,0,0,0,1,32,31,5.166666667,6.193548387
Bhuvneshwar Kumar,2013,52,72,9,72.22222222,13,381,359,59.83333333,6.367688022
Biplab Samantray,2013,123,114,7,107.8947368,0,0,0,0,0
Bipul Sharma,2013,0,0,0,0,1,21,24,4,5.25
Brad Hogg,2013,0,0,0,0,0,31,21,3.5,8.857142857
Bradley John Hodge,2013,293,224,14,130.8035714,0,3,6,1,3
Brendon McCullum,2013,6,7,1,85.71428571,0,0,0,0,0
Brett Lee,2013,21,12,2,175,4,89,75,12.5,7.12
C.M. Gautam,2013,44,37,3,118.9189189,0,0,0,0,0
Cameron White,2013,226,200,13,113,1,16,12,2,8
Cheteshwar Pujara,2013,92,100,4,92,0,0,0,0,0
Christopher Gayle,2013,720,484,16,148.7603306,3,41,25,4.166666667,9.84
Christopher Morris,2013,14,17,6,82.35294118,17,410,309,51.5,7.961165049
Dale Steyn,2013,53,37,8,143.2432432,20,410,425,70.83333333,5.788235294
Darren Sammy,2013,174,136,9,127.9411765,11,169,138,23,7.347826087
David Hussey,2013,235,210,11,111.9047619,0,93,68,11.33333333,8.205882353
David Miller,2013,418,257,12,162.6459144,0,0,0,0,0
David Warner,2013,410,333,16,123.1231231,0,0,0,0,0
Debabrata Das,2013,75,76,6,98.68421053,0,0,0,0,0
Denial Christian,2013,6,16,2,37.5,0,56,38,6.333333333,8.842105263
Dhawal Kulkarni,2013,0,0,0,0,8,153,119,19.83333333,7.714285714
Dinesh Karthik,2013,510,422,19,120.8530806,0,0,0,0,0
Dirk Nannes,2013,0,0,0,0,5,165,126,21,7.857142857
Dishant Yagnik,2013,125,99,9,126.2626263,0,0,0,0,0
Dwaraka Ravi Teja,2013,14,18,2,77.77777778,0,0,0,0,0
Dwayne Bravo,2013,121,112,12,108.0357143,34,505,392,65.33333333,7.729591837
Dwayne Smith,2013,418,351,13,119.0883191,2,59,32,5.333333333,11.0625
Eoin Morgan,2013,307,250,13,122.8,0,0,0,0,0
Gautam Gambhir,2013,406,354,15,114.6892655,0,0,0,0,0
Glenn Maxwell,2013,36,27,3,133.3333333,0,24,12,2,12
Gurkeerat Singh Mann,2013,108,98,9,110.2040816,0,0,0,0,0
Hanuman Vihari,2013,241,287,17,83.97212544,1,39,37,6.166666667,6.324324324
Harbhajan Singh,2013,116,82,13,141.4634146,25,466,430,71.66666667,6.502325581
Harmeet Singh,2013,3,4,1,75,7,123,96,16,7.6875
Iqbal Abdulla,2013,8,14,2,57.14285714,7,142,113,18.83333333,7.539823009
Irfan Pathan,2013,153,159,13,96.22641509,11,391,315,52.5,7.447619048
Ishant Sharma,2013,0,0,0,0,16,471,374,62.33333333,7.556149733
Ishwar Chandra Pandey,2013,0,2,1,0,1,50,25,4.166666667,12
Jacob Oram,2013,0,0,0,0,0,28,26,4.333333333,6.461538462
Jacques Kallis,2013,311,327,15,95.10703364,19,407,329,54.83333333,7.422492401
Jamaluddin Syed Mohammad,2013,10,13,2,76.92307692,4,92,62,10.33333333,8.903225806
James Faulkner,2013,57,57,9,100,33,436,395,65.83333333,6.62278481
Jan Morkel,2013,46,37,3,124.3243243,8,167,149,24.83333333,6.724832215
Jason Holder,2013,0,0,0,0,4,173,125,20.83333333,8.304
Jasprit Bumrah,2013,0,0,0,0,3,74,45,7.5,9.866666667
Jaydev Unadkat,2013,2,2,2,100,13,373,299,49.83333333,7.484949833
Jeevan Mendis,2013,23,27,3,85.18518519,1,36,30,5,7.2
Johan Botha,2013,43,52,6,82.69230769,5,114,102,17,6.705882353
Kane Richardson,2013,34,36,2,94.44444444,2,103,73,12.16666667,8.465753425
Karn Sharma,2013,85,89,7,95.50561798,12,235,211,35.16666667,6.682464455
Karun Nair,2013,9,12,2,75,0,0,0,0,0
Kedar Jadhav,2013,152,127,10,119.6850394,0,0,0,0,0
Kevon Cooper,2013,39,22,5,177.2727273,22,456,341,56.83333333,8.023460411
Kieron Pollard,2013,420,290,18,144.8275862,10,292,197,32.83333333,8.893401015
KL Rahul,2013,20,16,2,125,0,0,0,0,0
Krishnakant  Upadhyay,2013,1,1,1,100,0,48,32,5.333333333,9
